InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536001,PRD1005,PAPER PARTY BUNTING,5,2024-02-05 15:07:00,12.02,10000,Belgium
536001,PRD1014,RETRO TIN SIGN,3,2024-02-05 15:07:00,2.77,10000,Belgium
536001,PRD1000,WHITE CERAMIC MUG,2,2024-02-05 15:07:00,22.21,10000,Belgium
536001,PRD1011,GLASS CANDLE HOLDER,7,2024-02-05 15:07:00,20.49,10000,Belgium
536002,PRD1002,VINTAGE WOODEN BOX,4,2023-12-04 09:49:00,13.84,10001,United Kingdom
536002,PRD1018,FELT CHRISTMAS STOCKING,11,2023-12-04 09:49:00,6.38,10001,United Kingdom
536003,PRD1015,LEATHER KEY FOB,5,2024-01-13 12:51:00,10.55,10001,United Kingdom
536004,PRD1012,COTTON TEA TOWEL,1,2024-06-28 12:17:00,31.6,10002,Ireland
536004,PRD1019,SILK SCARF,10,2024-06-28 12:17:00,19.41,10002,Ireland
536004,PRD1021,WOODEN TOY TRAIN,8,2024-06-28 12:17:00,19.46,10002,Ireland
536004,PRD1007,SMALL GLASS JAR,2,2024-06-28 12:17:00,23.3,10002,Ireland
536005,PRD1003,BLUE GLASS VASE,5,2024-02-03 17:40:00,13.6,10002,Ireland
536005,PRD1013,CERAMIC PLANT POT,3,2024-02-03 17:40:00,34.14,10002,Ireland
536005,PRD1000,WHITE CERAMIC MUG,9,2024-02-03 17:40:00,30.07,10002,Ireland
536005,PRD1011,GLASS CANDLE HOLDER,4,2024-02-03 17:40:00,27.73,10002,Ireland
536006,PRD1012,COTTON TEA TOWEL,9,2024-03-05 09:19:00,31.6,10002,Ireland
536006,PRD1009,WOODEN PHOTO FRAME,8,2024-03-05 09:19:00,35.56,10002,Ireland
536006,PRD1002,VINTAGE WOODEN BOX,10,2024-03-05 09:19:00,16.15,10002,Ireland
536007,PRD1003,BLUE GLASS VASE,2,2024-02-03 08:59:00,13.6,10002,Ireland
536007,PRD1001,RED RETRO ALARM CLOCK,9,2024-02-03 08:59:00,3.97,10002,Ireland
536007,PRD1012,COTTON TEA TOWEL,10,2024-02-03 08:59:00,31.6,10002,Ireland
536007,PRD1000,WHITE CERAMIC MUG,10,2024-02-03 08:59:00,30.07,10002,Ireland
536007,PRD1011,GLASS CANDLE HOLDER,10,2024-02-03 08:59:00,27.73,10002,Ireland
536008,PRD1016,PAPER GIFT TAGS SET,8,2024-02-07 15:53:00,11.45,10003,United Kingdom
536009,PRD1017,HANGING DECORATION,4,2024-08-16 10:49:00,29.6,10004,Portugal
536009,PRD1000,WHITE CERAMIC MUG,11,2024-08-16 10:49:00,51.88,10004,Portugal
536009,PRD1023,EMBROIDERED CUSHION,2,2024-08-16 10:49:00,6.37,10004,Portugal
536009,PRD1006,METAL WALL CLOCK,2,2024-08-16 10:49:00,45.38,10004,Portugal
536010,PRD1004,STRIPED COTTON TOTE,5,2024-11-13 08:55:00,51.74,10004,Portugal
536010,PRD1008,KNITTED WOOL SCARF,10,2024-11-13 08:55:00,63.75,10004,Portugal
536010,PRD1020,ENAMEL MUG SET,11,2024-11-13 08:55:00,44.03,10004,Portugal
536011,PRD1009,WOODEN PHOTO FRAME,3,2024-08-16 12:19:00,61.36,10004,Portugal
536012,PRD1016,PAPER GIFT TAGS SET,1,2024-11-08 16:10:00,22.39,10004,Portugal
536012,PRD1004,STRIPED COTTON TOTE,3,2024-11-08 16:10:00,51.74,10004,Portugal
536012,PRD1014,RETRO TIN SIGN,5,2024-11-08 16:10:00,6.47,10004,Portugal
536013,PRD1011,GLASS CANDLE HOLDER,11,2024-10-27 12:54:00,47.85,10004,Portugal
536014,PRD1016,PAPER GIFT TAGS SET,1,2024-09-09 15:46:00,22.39,10004,Portugal
536014,PRD1003,BLUE GLASS VASE,11,2024-09-09 15:46:00,23.46,10004,Portugal
536014,PRD1004,STRIPED COTTON TOTE,3,2024-09-09 15:46:00,51.74,10004,Portugal
536014,PRD1012,COTTON TEA TOWEL,5,2024-09-09 15:46:00,54.52,10004,Portugal
536014,PRD1023,EMBROIDERED CUSHION,10,2024-09-09 15:46:00,6.37,10004,Portugal
536015,PRD1006,METAL WALL CLOCK,9,2024-08-20 09:01:00,45.38,10004,Portugal
536016,PRD1003,BLUE GLASS VASE,8,2024-11-29 08:46:00,23.46,10004,Portugal
